epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.843,1.60766,4.89084,1.52162,0.0625,0.02083,0.04167,0.02083,1.35384,5.10767,1.26599,0.000149052,0.000149052,0.000149052
2,333.824,1.31399,4.22213,1.27797,0.77379,0.04167,0.11773,0.05215,1.28263,4.57117,1.23996,0.000297741,0.000297741,0.000297741
3,517.462,1.31285,3.80246,1.25412,0.4743,0.17741,0.23761,0.15838,1.25582,3.95148,1.14941,0.000443428,0.000443428,0.000443428
4,688.512,1.29263,3.5151,1.22152,0.30055,0.36518,0.31997,0.20943,1.25334,3.7791,1.11035,0.000441486,0.000441486,0.000441486
5,871.25,1.29207,3.38514,1.23991,0.63349,0.29137,0.41661,0.28712,1.23492,3.36892,1.13435,0.000436982,0.000436982,0.000436982
6,1045.24,1.22988,3.03,1.21384,0.47796,0.44647,0.44984,0.32758,1.17185,3.27867,1.07644,0.000432478,0.000432478,0.000432478
7,1227.11,1.18378,2.78311,1.19561,0.36949,0.49977,0.48581,0.34505,1.21551,3.00362,1.1761,0.000427973,0.000427973,0.000427973
8,1410.65,1.20022,2.61084,1.18877,0.45231,0.66779,0.51264,0.36758,1.26436,3.21505,1.20475,0.000423468,0.000423468,0.000423468
9,1571.59,1.12898,2.37666,1.16291,0.41245,0.65344,0.60749,0.41643,1.23292,2.8343,1.14121,0.000418964,0.000418964,0.000418964
10,1746.59,1.08899,2.30319,1.139,0.44704,0.63991,0.68023,0.50819,1.14572,2.71276,1.15957,0.00041446,0.00041446,0.00041446
11,1919.96,1.08457,2.18031,1.15176,0.53944,0.70245,0.75143,0.52903,1.17081,2.37215,1.15458,0.000409955,0.000409955,0.000409955
12,2092.99,1.07367,2.02549,1.13911,0.45012,0.76205,0.65184,0.46701,1.15198,2.48639,1.12935,0.000405451,0.000405451,0.000405451
13,2272.34,1.04235,1.96434,1.12647,0.60939,0.85589,0.80646,0.57982,1.15692,2.1799,1.11668,0.000400946,0.000400946,0.000400946
14,2435.79,0.98749,1.86086,1.1171,0.71905,0.6726,0.79202,0.57843,1.16502,2.23158,1.14008,0.000396441,0.000396441,0.000396441
15,2571.05,1.00649,1.81501,1.12134,0.6288,0.72859,0.80046,0.55928,1.10133,2.21636,1.09445,0.000391937,0.000391937,0.000391937
16,2702.01,1.01431,1.8212,1.10762,0.72567,0.68282,0.8349,0.6093,1.05463,2.05823,1.10718,0.000387433,0.000387433,0.000387433
17,2833.79,0.94425,1.62349,1.09557,0.86197,0.74381,0.88989,0.65026,0.99571,1.85991,1.03807,0.000382928,0.000382928,0.000382928
18,2968.8,0.90552,1.55067,1.04911,0.74654,0.64117,0.74115,0.53424,1.21727,2.19478,1.16414,0.000378423,0.000378423,0.000378423
19,3105.39,0.90969,1.57951,1.07924,0.63424,0.69581,0.73193,0.49288,1.23468,2.25335,1.12571,0.000373919,0.000373919,0.000373919
20,3244.72,0.91095,1.50969,1.05986,0.82248,0.57353,0.7594,0.55895,1.01682,2.02363,1.04593,0.000369415,0.000369415,0.000369415
21,3396.47,0.92372,1.44432,1.0602,0.79956,0.66022,0.79899,0.61554,1.01256,1.87257,1.02368,0.00036491,0.00036491,0.00036491
